amr1
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Amrozi menuduh saudaranya, yang ia sebut """"saksi"""", dengan sengaja mendistorsi buktinya.""
(z0 / menu-01
                       :mod (z8 / itu))
             :ARG2 (z9 / sejarah
                       :mod (z10 / tonggak)))
    :op2 (z11 / pecah-01
              :ARG0 (z12 / penelitian
                         :mod (z13 / ini))
              :ARG1 (z14 / penghalang
                         :mod (z15 / ukuran))
              :beneficiary (z16 / tikus)))"
"# ::id 1971
# ::annotator indoamrbart-mbart-fted
# ::snt Pejabat dengan North Carolina Speedway di Rockingham tidak dapat dihubungi.
(z0 / kontak-01
    :ARG0 (z1 / orang
              :ARG0-of (z2 / memiliki-peran-org-91
                           :ARG2 (z3 / resmi)))
    :ARG1 (z4 / speedway
              :wiki -
              :name (z5 / nama
                        :op1 ""North""
                        :op2 ""Carolina"")
              :location (z6 / kota
                            :wiki ""Rockingham""
                            :name (z7 / nama
                                      :op1 ""Rockingham""))))"
"# ::id 1972
# ::annotator indoamrbart-mbart-fted
# ::snt Pengadilan Banding Sirkuit A.S. ke -4 telah membuka transkrip yang diedit oleh sesi pengadilan 3 Juni di mana bukti rahasia dibahas dari pendengaran publik.
(z0 / membuka-01
    :ARG0 (z1 / pengadilan
              :wiki -
              :name (z2 / nama
                        :op1 ""A.S.""
                        :op2 ""Banding""
                        :op3 ""Sirkuit""
                        :op4 ""A.S."")
              :time (z3 / entitas-tanggal))
    :ARG1 (z4 / transkrip
              :ARG1-of (z5 / diedit-01
                           :ARG0 (z6 / sesi
                                     :mod (z7 / pengadilan)
                                     :time (z8 / entitas-tanggal))))
    :location (z9 / mendengarkan-01
                  :ARG0 (z10 / publik)
                  :ARG1 (z11 / bukti
                             :mod (z12 / rahasia))))"
"# ::id 1973
# ::annotator indoamrbart-mbart-fted
# ::snt Indeks 500 Standard & Poor yang lebih luas turun 9,90 poin, atau 0,99 persen, menjadi 988,61.
(z0 / turun-01
    :ARG0 (z1 / indeks
              :mod (z2 / entitas-persentase))
    :ARG4 (z3 / atau
              :op1 (z4 / entitas-persentase)
              :op2 (z5 / entitas-persentase))
    :ARG1-of (z6 / memiliki-derajat-91
                 :ARG2 (z7 / luas-01
                           :ARG1 z1)
                 :ARG3 (z8 / lebih))
    :destination (z9 / indeks
                     :mod (z10 / entitas-persentase)))"
"# ::id 1974
# ::annotator indoamrbart-mbart-fted
# ::snt Kata -kata yang identik diperkenalkan di Senat minggu lalu oleh tiga Partai Republik, Wayne Allard (Colo.), Jeff Sessions (Ala.) Dan Sam Brownback (Kan.).
(z0 / memperkenalkan-01
    :ARG0 (z1 / partai
              :wiki ""RepublicanParty(U3000 / UnitedStates)""
              :name (z2 / nama
                        :op1 ""Republik""))
    :ARG1 (z3 / kata
              :mod (z4 / identik))
    :location (z5 / Senat)
    :time (z6 / minggu
              :mod (z7 / terakhir)))"
"# ::id 1975
# ::annotator indoamrbart-mbart-fted
# ::snt Hakim Agung William Rehnquist dan Hakim Clarence Thomas adalah dua hakim yang berbeda pendapat lainnya.
(z0 / hakim
    :domain (z1 / dan
                :op1 (z2 / orang
                         :wiki -
                         :name (z3 / nama
                                   :op1 ""William""
                                   :op2 ""Agung"")
                         :ARG0-of (z4 / memiliki-peran-org-91
                                      :ARG2 (z5 / Hakim)))
                :op2 (z6 / orang
                         :wiki -
                         :name (z7 / nama
                                   :op1 ""Clarence""
                                   :op2 ""Thomas"")
                         :ARG0-of (z8 / memiliki-peran-org-91
                                      :ARG2 (z9 / Hakim))))
    :mod (z10 / lain))"
"# ::id 1976
# ::annotator indoamrbart-mbart-fted
# ::snt Kanselir Lord adalah wali dari Segel Besar, yang digunakan untuk mencap semua dokumen resmi dari Sovereign.
(z0 / pakai-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Lord""
                        :op2 ""Segel""))
    :ARG1 (z3 / cap
              :mod (z4 / resmi)
              :poss (z5 / orang
                        :wiki -
                        :name (z6 / nama
                                  :op1 ""Sovereign""))
              :mod (z7 / semua))
    :location (z8 / segel
                  :mod (z9 / besar)))"
"# ::id 1977
# ::annotator indoamrbart-mbart-fted
# ::snt Tahanan disiksa dan dieksekusi - telinga dan kulit kepala mereka diputuskan untuk oleh-oleh.
(z0 / putus-01
    :ARG0 (z1 / mereka)
    :ARG1 (z2 / oleh-oleh-01
              :ARG0 z1
              :ARG1 (z3 / dan
                        :op1 (z4 / telinga
                                 :part-of z1)
                        :op2 (z5 / kulit
                                 :part-of (z6 / kepala
                                              :part-of z1)))))"
"# ::id 1978
# ::annotator indoamrbart-mbart-fted
# ::snt Pasukan AS menewaskan hampir dua lusin yang diduga militan Taliban setelah mendapat kecaman di Afghanistan selatan dalam serangkaian serangan semacam itu.
(z0 / tewas-01
    :ARG0 (z1 / militer
              :wiki ""UnitedStatesArmy""
              :name (z2 / nama
                        :op1 ""U.S.""
                        :op2 ""Army""))
    :ARG1 (z3 / militan
              :wiki ""Taliban""
              :name (z4 / nama
                        :op1 ""Taliban""))
    :duration (z5 / hampir
                  :op1 (z6 / kuantitas-massa
                           :unit (z7 / lusin)))
    :time (z8 / setelah
              :op1 (z9 / kecaman-01
                       :ARG0 z1
                       :location (z10 / selatan
                                      :part (z11 / negara
                                                 :wiki ""Afghanistan""
                                                 :name (z12 / nama
                                                            :op1 ""Afghanistan""))
                                      :consist-of (z14 / menyerang-01
                                                       :mod (z15 / itu))))))"
"# ::id 1979
# ::annotator indoamrbart-mbart-fted
# ::snt Cindy Yeast, seorang humas di daerah Washington berusia 50 tahun, mengatakan dia mulai mengonsumsi suplemen dua tahun lalu untuk menghindari demensia ringan yang mempengaruhi orang tuanya yang sudah lanjut usia.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Cindy""
                        :op2 ""Yeast"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG2 (z4 / humas))
              :location (z5 / daerah
                            :wiki ""Washington,D.C.""
                            :name (z6 / nama
                                      :op1 ""Washington""))
              :age (z7 / kuantitas-sementara
                       :unit (z8 / tahun)))
    :ARG1 (z9 / mulai-01
              :ARG0 z1
              :ARG1 (z10 / suplemen)
              :time (z11 / sebelum
                         :op1 (z12 / sekarang)
                         :quant (z13 / kuantitas-sementara
                                     :unit (z14 / tahun)))
              :purpose (z15 / menghindari-01
                            :ARG0 z1
                            :ARG1 (z16 / mempengaruhi-01
                                       :ARG0 (z17 / demensia
                                                  :mod (z18 / ringan))
                                       :ARG1 (z19 / orang
                                                  :ARG0-of (z20 / memiliki-peran-rel-91
                                                                :ARG1 z1
                                                                :ARG2 (z21 / orang-tua))
                                                  :ARG1-of (z22 / lanjut-01
                                                                :ARG2 (z23 / usia)))))))"
"# ::id 1980
# ::annotator indoamrbart-mbart-fted
# ::snt Sekitar 25 negara telah menandatangani dalam empat bulan terakhir, dan sekitar setengah dari mereka telah ditandatangani dalam beberapa minggu terakhir.
(z0 / dan
    :op1 (z1 / tanda-01
             :ARG0 (z2 / negara)
             :time (z3 / sebelum
                       :op1 (z4 / sekarang)
                       :quant (z5 / kuantitas-sementara
                                  :unit (z6 / bulan))))
    :op2 (z7 / tanda-01
             :ARG0 (z8 / mereka)
             :ARG1 (z9 / sekitar
                       :op1 ""1/2"")
             :time (z10 / sebelum
                        :op1 (z11 / sekarang)
                        :quant (z12 / beberapa
                                    :op1 (z13 / kuantitas-sementara
                                              :unit (z14 / minggu))))))"
"# ::id 1981
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Amerika Serikat menyambut peran NATO yang lebih besar dalam stabilisasi Irak,"""" kata Powell, menurut teks komentar yang disiapkan yang dilihat oleh Reuters.""
(z0 / ujar-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Powell""))
    :ARG1 (z3 / selamat-01
              :ARG0 (z4 / negara
                        :wiki ""UnitedStates""
                        :name (z5 / nama
                                  :op1 ""United""
                                  :op2 ""States""))
              :ARG1 (z6 / peran
                        :mod (z7 / NATO)
                        :ARG1 (z8 / stabil-01
                                  :ARG1 (z9 / negara
                                            :wiki ""Iraq""
                                            :name (z10 / nama
                                                       :op1 ""Iraq"")))
                        :ARG1 (z11 / besar)))
    :manner (z12 / teks
                 :mod (z13 / komentar)
                 :ARG1-of (z14 / siap-01)
                 :ARG1-of (z15 / lihat-01
                               :ARG0 (z16 / Reuters))))"
"# ::id 1982
# ::annotator indoamrbart-mbart-fted
# ::snt Konflik berpusat pada proposal untuk mengubah dana pengangguran Prancis untuk seniman yang memperhitungkan downtime mereka di antara pertunjukan.
(z0 / ubah-01
    :ARG0 (z1 / orang
              :ARG0 (z2 / seniman))
    :ARG1 (z3 / dana
              :mod (z4 / pengangguran)
              :poss (z5 / negara
                        :wiki ""France""
                        :name (z6 / nama
                                  :op1 ""France"")))
    :ARG2 (z7 / downtime
              :poss z1)
    :time (z8 / antara
              :op1 (z9 / tunjuk-01
                       :ARG0 z1)))"
"# ::id 1983
# ::annotator indoamrbart-mbart-fted
# ::snt Keduanya tidak terkait, tetapi telah menyebut satu sama lain sebagai ayah dan anak.
(z0 / dan
    :op1 (z1 / terkait-01
             :polarity -
             :ARG0 (z2 / dia))
    :op2 (z3 / rujuk-01
             :ARG0 z2
             :ARG1 (z4 / anak))
    :concession (z5 / rujuk-01
                    :ARG0 z2
                    :ARG1 (z6 / satu
                              :mod (z7 / keduanya))
                    :ARG2 (z8 / ayah)))"
"# ::id 1984
# ::annotator indoamrbart-mbart-fted
# ::snt Terapi penggantian hormon yang menggabungkan estrogen dan progestin menggandakan risiko kanker payudara wanita, sebuah studi Inggris terhadap lebih dari satu juta wanita telah menemukan.
(z0 / menemukan-01
    :ARG0 (z1 / studi
              :mod (z2 / negara
                       :wiki ""UnitedKingdom""
                       :name (z3 / nama
                                 :op1 ""Great""
                                 :op2 ""Britain"")
                       :quant (z5 / lebih-dari
                                  :op1 1000000)))
    :ARG1-of (z6 / banding-01
                 :ARG2 (z7 / risiko-01
                           :ARG0 (z8 / kanker
                                     :mod (z9 / payudara)
                                     :poss (z10 / wanita)))
                 :manner (z11 / menggabungkan-01
                              :ARG0 (z12 / hormon
                                         :wiki ""estrogen""
                                         :name (z13 / nama
                                                    :op1 ""estrogen""))
                              :ARG1 (z14 / progestin))))"
"# ::id 1985
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Saya akan meneruskan kepadanya [Tn. Cheney] bahwa Kanada masih tetap menjadi pasokan energi yang aman, aman, dan andal,"""" kata Mr. Klein pada hari Minggu.""
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Mr.""
                        :op2 ""Klein""))
    :ARG1 (z3 / lanjutkan-01
              :ARG0 (z4 / aku)
              :ARG1 (z5 / pasokan-01
                        :ARG0 (z6 / negara
                                  :wiki ""Canada""
                                  :name (z7 / nama
                                            :op1 ""Canada""))
                        :ARG1 (z8 / energi)
                        :mod (z9 / aman)
                        :mod (z10 / aman)
                        :mod (z11 / aman)
                        :mod (z12 / andal)))
    :ARG2 (z13 / orang
               :wiki -
               :name (z14 / nama
                          :op1 ""Tn.""
                          :op2 ""Cheney""))
    :time (z15 / entitas-tanggal
               :weekday (z16 / minggu)))"
"# ::id 1986
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Ini adalah jaring jinak di mana kami berharap dapat menangkap investor dan di mana masing-masing dari kita dapat memajukan kepentingan diri kita yang tercerahkan melalui kerja sama dengan orang lain.""""""
(z0 / jaring
    :mod (z1 / jinak)
    :domain (z2 / ini)
    :location (z3 / dan
                  :op1 (z4 / mungkin-01
                           :ARG1 (z5 / tangkap-01
                                     :ARG0 (z6 / kita)
                                     :ARG1-of (z7 / berharap-01
                                                  :ARG0 z6)
                                     :ARG1 (z8 / investor)))
                  :op2 (z9 / mungkin-01
                           :ARG1 (z10 / jukan-01
                                      :ARG0 (z11 / kita)
                                      :ARG1 (z12 / bunga
                                                 :poss z11
                                                 :poss (z13 / orang
                                                            :mod (z14 / lain))
                                                 :ARG1-of (z15 / tercerahkan-01
                                                               :manner (z16 / bekerja-01
                                                                            :ARG0 z11
                                                                            :manner (z17 / sama-01
                                                                                         :ARG0 z11))))))))"
"# ::id 1987
# ::annotator indoamrbart-mbart-fted
# ::snt Spesialis remaja Dr Michael Cohen, yang mengerjakan penelitian itu, mengatakan dokter telah merawat anak-anak berusia delapan tahun dengan anoreksia-dan bahwa ia pernah merawat seorang bocah lelaki berusia empat tahun.
(z0 / katakan-01
    :ARG0 (z1 / dokter
              :wiki -
              :name (z2 / nama
                        :op1 ""Michael""
                        :op2 ""Cohen"")
              :ARG0-of (z3 / memiliki-peran-rel-91
                           :ARG1 (z4 / orang
                                     :wiki -
                                     :name (z5 / nama
                                               :op1 ""Michael""
                                               :op2 ""Cohen""))
                           :ARG2 (z6 / spesialisasi
                                     :mod (z7 / remaja))))
    :ARG1 (z8 / dan
              :op1 (z9 / peduli-01
                       :ARG0 z1
                       :ARG1 (z10 / anak
                                  :age (z11 / kuantitas-sementara
                                            :unit (z12 / tahun)))
                       :instrument (z13 / anoreksia))
              :op2 (z14 / peduli-01
                        :ARG0 z1
                        :ARG1 (z15 / anak
                                   :age (z16 / kuantitas-sementara
                                             :unit (z17 / tahun))))))"
"# ::id 1988
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Jelas saya tidak mengendarai dan bertahun -tahun yang lalu,"""" kata Armstrong pada konferensi pers.""
(z0 / ujar-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Armstrong""))
    :ARG1 (z3 / dan
              :op1 (z4 / naik-01
                       :ARG0 (z5 / jelas
                                 :poss (z6 / aku)))
              :op2 (z7 / naik-01
                       :ARG0 z5
                       :time (z8 / sebelum
                                 :op1 (z9 / sekarang)
                                 :quant (z10 / beberapa
                                             :op1 (z11 / kuantitas-sementara
                                                       :unit (z12 / tahun))))))
    :location (z13 / konferensi
                   :mod (z14 / pers)))"
"# ::id 1989
# ::annotator indoamrbart-mbart-fted
# ::snt Semua yang terinfeksi memiliki kontak dekat baru-baru ini dengan anjing padang rumput.
(z0 / kontak-01
    :ARG0 (z1 / semua
              :mod (z2 / semua))
    :ARG1 (z3 / anjing
              :wiki -
              :name (z4 / nama
                        :op1 ""padang""
                        :op2 ""rumput""))
    :manner (z5 / dekat)
    :time (z6 / baru-baru-ini))"
"# ::id 1990
# ::annotator indoamrbart-mbart-fted
# ::snt Pada konferensi pers di Staten Island, pengacara AS Roslynn Mauskopf mengumumkan bahwa dia akan mengambil alih penyelidikan dari Jaksa Distrik William Murphy.
(z0 / umum-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Roslynn""
                        :op2 ""Mauskopf"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / negara
                                     :wiki ""UnitedStates""
                                     :name (z5 / nama
                                               :op1 ""U.S.""))
                           :ARG2 (z6 / pengacara)))
    :ARG1 (z7 / mengambil-01
              :ARG0 z1
              :ARG1 (z8 / penyelidikan
                        :source (z9 / orang
                                    :wiki -
                                    :name (z10 / nama
                                               :op1 ""William""
                                               :op2 ""Murphy"")
                                    :ARG0-of (z11 / memiliki-peran-org-91
                                                  :ARG2 (z12 / Jaksa
                                                             :mod (z13 / distrik))))))
    :location (z14 / konferensi
                   :mod (z15 / pers)
                   :location (z16 / pulau
                                  :wiki ""StatenIsland""
                                  :name (z17 / nama
                                             :op1 ""Staten""
                                             :op2 ""Island""))))"
"# ::id 1991
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Ketika saya berbicara dengannya terakhir kali, apakah saya pikir itu adalah akhir - satu percakapan dengan seseorang?""
(z0 / pikir-01
    :ARG0 (z1 / aku)
    :ARG1 (z2 / berakhir-01
              :ARG1 (z3 / bercakap-cakap-01
                        :ARG0 z1
                        :ARG1 (z4 / seseorang)))
    :time (z5 / bicara-01
              :ARG0 z1
              :ARG2 (z6 / dia)
              :ord (z7 / entitas-ordinal)))"
"# ::id 1992
# ::annotator indoamrbart-mbart-fted
# ::snt Badai tropis yang bergerak lambat dan basah kuyup Henri menyiram Florida yang sudah direndam pada hari Jumat, membawa badai kuat yang selanjutnya menguji danau dan sungai yang sudah beraneka ragam.
(z0 / siram-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Henri""))
    :ARG1 (z3 / negara
              :wiki ""Florida""
              :name (z4 / nama
                        :op1 ""Florida""))
    :time (z5 / sudah
              :op1 (z6 / entitas-tanggal
                       :weekday (z7 / jumat)))
    :manner (z8 / dan
                :op1 (z9 / lambat-01
                         :ARG1 (z10 / pindah-01
                                    :ARG0 (z11 / tropis)))
                :op2 (z12 / basah-01
                          :ARG0 (z13 / kuyup
                                     :mod (z14 / Henri))))
    :ARG0-of (z15 / bawa-01
                  :ARG1 (z16 / badai
                             :mod (z17 / kuat))
                  :time (z18 / selanjutnya
                             :op1 (z19 / menguji-01
                                       :ARG0 (z20 / danau))
                             :op2 (z21 / sungai
                                       :mod (z22 / beraneka-ragam)))))"
"# ::id 1993
# ::annotator indoamrbart-mbart-fted
# ::snt Kasus ini telah mengkonsolidasikan banyak gugatan tindakan kelas yang diajukan terhadap Rambus pada tahun 2001.
(z0 / konsolidasi-01
    :ARG0 (z1 / ini)
    :ARG1 (z2 / banding-01
              :ARG1 (z3 / orang
                        :wiki -
                        :name (z4 / nama
                                  :op1 ""Rambus""))
              :ARG1 (z5 / tindakan
                        :mod (z6 / kelas))
              :quant (z7 / banyak))
    :time (z8 / entitas-tanggal))"
"# ::id 1994
# ::annotator indoamrbart-mbart-fted
# ::snt ""Dia menambahkan bahwa kita """"tidak akan membuat kemajuan jika kita tidak memperluas tenda.""""""
(z0 / menambahkan-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / kemajuan-01
              :ARG0 (z3 / kita)
              :condition (z4 / luas-01
                             :polarity -
                             :ARG0 z3
                             :ARG1 (z5 / tenda))))"
"# ::id 1995
# ::annotator indoamrbart-mbart-fted
# ::snt ""Gibson mengatakan bulan lalu dalam pernyataan pers bahwa """"baik saya maupun film saya tidak anti-Semit.""
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Gibson""))
    :ARG1 (z3 / dan
              :op1 (z4 / menentang-01
                       :ARG0 (z5 / film
                                 :poss z1)
                       :ARG1 (z6 / kelompok-agama
                                 :wiki ""Islam""
                                 :name (z7 / nama
                                           :op1 ""Islam"")))
              :op2 (z8 / menentang-01
                       :ARG0 (z9 / baik
                                 :op1 (z10 / aku)
                                 :op2 (z11 / film
                                           :poss z10))
                       :ARG1 (z12 / kelompok-agama
                                  :wiki ""Islam""
                                  :name (z13 / nama
                                             :op1 ""Islam""))))
    :medium (z14 / pernyataan
                 :mod (z15 / pers))
    :time (z16 / bulan
               :mod (z17 / terakhir)))"
"# ::id 1996
# ::annotator indoamrbart-mbart-fted
# ::snt MTA berpendapat perlu menaikkan tarif untuk menutup defisit dua tahun yang diperkirakan pada waktu yang berbeda berkisar dari kurang dari $ 1 miliar hingga $ 2,8 miliar.
(z0 / berpendapat-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Mta""
                        :op2 ""Mta""))
    :ARG1 (z3 / perlu-01
              :ARG0 (z4 / tarif)
              :ARG1 (z5 / menaikkan-01
                        :ARG0 z4
                        :ARG1 (z6 / tarif)
                        :purpose (z7 / tutup-01
                                     :ARG0 z4
                                     :ARG1 (z8 / defisit
                                               :duration (z9 / kuantitas-sementara
                                                             :unit (z10 / tahun))
                                               :ARG1-of (z11 / estimasi-01
                                                             :ARG0 (z12 / waktu
                                                                        :ARG1-of (z13 / berbeda-01))))
                                     :ARG2 (z14 / kurang-dari
                                                :op1 (z15 / kuantitas-moneter
                                                          :unit (z16 / dolar)))))))"
"# ::id 1997
# ::annotator indoamrbart-mbart-fted
# ::snt Perusahaan perangkat lunak terbesar di dunia mengatakan bahwa mereka mengakui kesulitan yang ditimbulkan oleh beberapa tambalan untuk perusahaan, dan berangkat untuk memudahkan mereka untuk menerapkan pembaruan.
(z0 / dan
    :op1 (z1 / katakan-01
             :ARG0 (z2 / mereka)
             :ARG1 (z3 / memiliki-derajat-91
                       :ARG1 (z4 / perangkat
                                 :mod (z5 / lunak))
                       :ARG2 (z6 / besar)
                       :ARG3 (z7 / sebagian-besar)
                       :ARG5 (z8 / dunia)))
    :op2 (z9 / banding-01
             :ARG0 z2
             :ARG1-of (z10 / menimbulkan-01
                           :ARG0 (z11 / kesulitan
                                      :ARG1-of (z12 / datang-01
                                                    :ARG0 (z13 / beberapa
                                                               :op1 (z14 / tambalan
                                                                         :mod (z15 / perusahaan)))))))
    :op3 (z16 / berangkat-01
              :ARG0 z2
              :purpose (z17 / kemudahan-01
                            :ARG0 z2
                            :ARG1 (z18 / mereka)
                            :purpose (z19 / berlakulah-02
                                          :ARG0 z18
                                          :ARG1 (z20 / pembaruan)))))"
"# ::id 1998
# ::annotator indoamrbart-mbart-fted
# ::snt Pada tahun 2040, populasi kabupaten diperkirakan 985.066, dibandingkan dengan populasi 2000 dari 860.454.
(z0 / estimasi-01
    :ARG0 (z1 / penduduk
              :mod (z2 / kabupaten))
    :ARG2 (z3 / entitas-laju-91
              :ARG2 (z4 / entitas-tanggal)
              :ARG3 (z5 / kuantitas-sementara
                        :unit (z6 / tahun)))
    :ARG1-of (z7 / bandingkan-01
                 :ARG2 (z8 / penduduk
                           :mod (z9 / entitas-laju-91
                                    :ARG2 (z10 / entitas-tanggal)
                                    :ARG3 (z11 / kuantitas-sementara
                                               :unit (z12 / tahun))))))"
"# ::id 1999
# ::annotator indoamrbart-mbart-fted
# ::snt Dow Jones Industrial Average .DJI berakhir naik 64,64 poin, atau 0,71 persen, pada 9.191,09, menurut data terbaru yang tersedia.
(z0 / berakhir-01
    :ARG1 (z1 / indeks
              :wiki ""DowJonesIndustrialAverage""
              :name (z2 / nama
                        :op1 ""Dow""
                        :op2 ""Jones""
                        :op3 ""Industrial""
                        :op4 ""Average""))
    :manner (z3 / atau
                :op1 (z4 / entitas-persentase)
                :op2 (z5 / entitas-persentase))
    :time (z6 / entitas-tanggal)
    :ARG1-of (z7 / tersedia-02)
    :ARG1-of (z8 / ujar-01
                 :ARG0 (z9 / data
                           :ARG1-of (z10 / baru-01))))"
"# ::id 2000
# ::annotator indoamrbart-mbart-fted
# ::snt Pemungutan suara datang hanya dua hari setelah Kurdi menyapu pemilihan Dewan Kota, mengambil satu blok suara terbesar di dewan 30 kursi.
(z0 / datang-01
    :ARG1 (z1 / ungungungan
              :mod (z2 / suara))
    :time (z3 / setelah
              :op1 (z4 / menyapu-01
                       :ARG0 (z5 / kelompok-etnis
                                 :wiki ""Kurdi""
                                 :name (z6 / nama
                                           :op1 ""Kurdi""))
                       :ARG1 (z7 / pemilihan
                                 :mod (z8 / dewan)))
              :quant (z9 / kuantitas-sementara
                         :unit (z10 / hari)))
    :manner (z11 / ambil-01
                 :ARG0 z1
                 :ARG1 (z12 / blok
                            :mod (z13 / suara)
                            :ARG1-of (z14 / memiliki-derajat-91
                                          :ARG2 (z15 / besar)
                                          :ARG3 (z16 / sebagian-besar))
                            :location (z17 / dewan))))"
"# ::id 2001
# ::annotator indoamrbart-mbart-fted
# ::snt Dolores Mahoy, 68, dari Colorado Springs, Colo., Adalah seseorang yang mungkin dibantu oleh undang-undang yang tertunda di Kongres.
(z0 / bantu-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Mahes""
                        :op2 ""Mahoy"")
              :age (z3 / kuantitas-sementara
                       :unit (z4 / tahun))
              :source (z5 / kota
                          :wiki ""ColoradoSprings,Colorado""
                          :name (z6 / nama
                                    :op1 ""Colorado""
                                    :op2 ""Springs"")
                          :location (z7 / undang-undang
                                        :ARG1-of (z9 / tertunda-01
                                                     :location (z10 / Kongres)))
                          :ARG1-of (z11 / mungkin-01))))"
"# ::id 2002
# ::annotator indoamrbart-mbart-fted
# ::snt Perdana Menteri Italia Silvio Berlusconi, yang negaranya memegang presiden Uni Eropa yang berputar, mengatakan dia siap untuk memanggil pertemuan para pemimpin bulan depan.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Silvio""
                        :op2 ""Berlusconi"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / negara
                                     :wiki ""Italy""
                                     :name (z5 / nama
                                               :op1 ""Italy""))
                           :ARG2 (z6 / menteri
                                     :mod (z7 / Italia)))
              :ARG0-of (z8 / tahan-01
                           :ARG1 (z9 / presiden
                                     :mod (z10 / negara))))
    :ARG1 (z11 / siap-01
               :ARG0 z1
               :ARG1 (z12 / panggilan-01
                          :ARG0 z1
                          :ARG1 (z13 / bertemu-01
                                     :ARG0 (z14 / orang
                                                :ARG0-of (z15 / memimpin-01)))
                          :time (z16 / bulan
                                     :mod (z17 / selanjutnya)))))"
"# ::id 2003
# ::annotator indoamrbart-mbart-fted
# ::snt Tetapi kepemimpinan utama Jihad Islam di strip Gaza tidak mengakui pemboman itu, dengan mengatakan bahwa kelompok itu masih berkomitmen pada gencatan senjata.
(z0 / kontras-01
    :ARG1 (z1 / mengaku-01
              :polarity -
              :ARG0 (z2 / orang
                        :ARG0-of (z3 / memimpin-01
                                     :ARG1 (z4 / kelompok
                                               :wiki ""JihadIslam""
                                               :name (z5 / nama
                                                         :op1 ""Jihad""
                                                         :op2 ""Islam"")))
                        :location (z6 / strip
                                      :wiki ""GazaStrip""
                                      :name (z7 / nama
                                                :op1 ""Gaza"")))
              :ARG1-of (z8 / menimbulkan-01
                           :ARG0 (z9 / komit-01
                                     :ARG0 z4
                                     :ARG2 (z10 / hentikan-01
                                                :ARG1-of (z11 / api-01))))))"
"# ::id 2004
# ::annotator indoamrbart-mbart-fted
# ::snt Cox mengatakan polisi negara bagian masih akan membantu kantornya dalam penyelidikan, tetapi Sturdivant tidak akan terlibat.
(z0 / dan
    :op1 (z1 / katakan-01
             :ARG0 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Cox"")
                       :ARG0-of (z4 / memiliki-peran-org-91
                                    :ARG2 (z5 / polisi)))
             :ARG1 (z6 / membantu-01
                       :ARG0 (z7 / polisi
                                 :mod (z8 / negara))
                       :ARG1 (z9 / kantor
                                 :poss z7)
                       :time (z10 / masih)))
    :op2 (z12 / terlibat-01
              :polarity -
              :ARG0 (z13 / orang
                         :wiki -
                         :name (z14 / nama
                                    :op1 ""Sturdivant""))))"
"# ::id 2005
# ::annotator indoamrbart-mbart-fted
# ::snt Tengkorak kemudian tertusuk, otak disedot keluar, dan itu menyebabkan tengkorak runtuh sehingga dapat dihilangkan dari saluran lahir.
(z0 / dan
    :op1 (z1 / tusuk-01
             :ARG0 (z2 / tengkorak)
             :time (z3 / lalu))
    :op2 (z4 / sentuh-01
             :ARG1 (z5 / otak)
             :direction (z6 / keluar))
    :op3 (z7 / menyebabkan-01
             :ARG0 (z8 / itu)
             :ARG1 (z9 / runtuh-01
                       :ARG1-of (z10 / mungkin-01)
                       :source (z11 / saluran
                                    :mod (z12 / lahir)))))"
"# ::id 2006
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Penuduh tiba di rumah sakit mengenakan celana rajut kuning - dengan air mani dan sperma orang lain di dalamnya, bukan dari Tuan Bryant,"""" Mackey memalu dengan penuh kemenangan.""
(z0 / dan
    :op1 (z1 / tiba-01
             :ARG0 (z2 / orang
                       :ARG0-of (z3 / memiliki-peran-rel-91
                                    :ARG2 (z4 / duduh)))
             :location (z5 / rumah
                           :mod (z6 / sakit))
